[AREA]
#'AreaID;Name;Nettype;Count of Units;'
0;Halfcenter left;1;18;
1;Halfcenter right;1;18;
2;input knee;1;16;
3;MN knee left;1;2;
4;MN knee right;1;2;
5;output to file;1;12;
6;Halfcenter hip flex left;1;17;
7;Halfcenter hip flex right;1;17;
8;input hip flex;1;6;
9;MN hip flex left;1;2;
10;MN hip flex right;1;2;
11;halfcenter left;1;18;
12;halfcenter right;1;18;
13;Input_Foot;1;16;
14;MN Foot left;1;2;
15;MN Foot right;1;2;
16;Feet_sensor_Input_le;1;5;
17;feedback_Interneuron_ext_le;1;3;
18;reflexes_ext_le;1;5;
19;feedback_interneuron_flex_le;1;3;
20;reflexes_flex_le;1;5;
21;feet_sensor_input_ri;1;5;
22;feedback_Interneuron_flex_ri;1;3;
23;feedback_Interneuron_ext_ri;1;3;
24;reflexes_flex_ri;1;5;
25;reflexes_ext_ri;1;5;
26;knee_sensor_input_left;1;4;
27;feedback_interneuron_flex_le;1;3;
28;reflexes_flex_left;1;5;
29;feedback_interneuron_ext_left;1;3;
30;reflexes_ext_left;1;5;
31;knee sensor input right;1;4;
32;Net46;1;3;
33;Net47;1;5;
34;Net48;1;3;
35;Net49;1;5;
36;hip_sensor_input_left;1;4;
37;feedback_interneuron_flex_left;1;3;
38;feedback_interneuron_ext_left;1;3;
39;reflexes_flex_left;1;5;
40;reflexes_ext_left;1;5;
41;hip_sensor_input_right;1;4;
42;feedback_interneuron_flex_right;1;3;
43;feedback_interneuron_ext_right;1;3;
44;reflexes_flex_right;1;5;
45;reflexes_ext_right;1;5;
46;general sensor_input;1;38;
47;general input area;1;1;
48;cutaneous_bias;1;1;
49;Dynamic_Inhibition;1;1;
50;Dynamic_Inhibition;1;1;
51;Dynamic_Inhibition;1;1;
52;Dynamic_Inhibition;1;1;
53;Dynamic_Inhibition;1;1;
54;Dynamic_Inhibition;1;1;
55;Dynamic_Inhibition;1;1;
56;Dynamic_Inhibition;1;1;
57;Dynamic_Inhibition;1;1;
58;Dynamic_Inhibition;1;1;
59;Dynamic_Inhibition;1;1;
60;Dynamic_Inhibition;1;1;
[END]
[CONNECTION]
#'su-AreaID;su-UnitID;tu-AreaID;tu-UnitID;Strength;'
0;5;0;1;-1000;
0;0;0;1;1;
0;1;0;2;-1;
0;16;0;2;0.001;
0;9;0;2;1;
0;10;0;3;-1;
0;9;0;3;1;
2;36;0;4;1;
0;11;0;4;-100;
0;6;0;4;-100;
27;507;0;4;0;
2;35;0;5;1;
0;7;0;5;-100;
29;478;0;5;0;
0;3;0;5;-100;
0;5;0;6;1;
26;474;0;6;0;
26;475;0;6;0;
16;394;0;6;0;
0;4;0;7;1;
26;473;0;7;0;
26;476;0;7;0;
0;4;0;8;1;
0;1;0;9;-1;
0;16;0;9;0.001;
0;2;0;9;1;
0;4887;0;11;-1;
0;13;0;11;1;
0;8;0;12;0.001;
0;14;0;12;-1;
0;13;0;12;1;
0;8;0;13;0.001;
0;14;0;13;-1;
0;12;0;13;1;
0;4;0;14;-1000;
0;15;0;14;1;
0;5;0;16;1;
1;27;1;18;1;
31;502;1;18;0;
31;505;1;18;0;
21;409;1;18;0;
1;20;1;19;1;
31;503;1;19;0;
31;504;1;19;0;
2;3217;1;20;1;
1;25;1;20;-100;
1;18;1;20;-100;
32;489;1;20;0;
1;17;1;21;1;
1;20;1;21;-1000;
1;20;1;22;1;
1;21;1;23;-1;
1;24;1;23;1;
1;22;1;23;0.001;
1;21;1;24;-1;
1;23;1;24;1;
1;22;1;24;0.001;
1;24;1;25;1;
1;26;1;25;-1;
2;3214;1;27;1;
1;19;1;27;-100;
1;29;1;27;-100;
34;492;1;27;0;
1;27;1;28;1;
1;4888;1;29;-1;
1;31;1;29;1;
1;28;1;30;0.001;
1;31;1;30;1;
1;32;1;30;-1;
1;28;1;31;0.001;
1;30;1;31;1;
1;32;1;31;-1;
1;33;1;32;1;
1;27;1;32;-1000;
2;3664;2;35;1;
2;3668;2;35;-1000;
2;59;2;36;1;
2;35;2;59;1;
2;3212;2;3211;0.001;
2;3213;2;3211;1;
2;35;2;3212;1;
2;3212;2;3213;0.001;
2;3211;2;3213;1;
2;3215;2;3214;-1000;
2;35;2;3214;1;
2;3216;2;3215;1;
2;3211;2;3215;-1;
2;3218;2;3217;1;
2;3214;2;3218;1;
47;1547;2;3664;1;
2;3666;2;3665;1;
2;3664;2;3665;0.001;
2;3665;2;3666;1;
2;3664;2;3666;0.001;
2;3667;2;3668;1;
2;3666;2;3668;-1;
28;487;3;37;8;
28;485;3;37;-10;
30;481;3;37;-10;
29;479;3;37;0.3;
0;5;3;37;0.7;
46;3203;3;37;1;
49;5200;3;37;-1;
46;3197;3;38;1;
28;486;3;38;-10;
30;482;3;38;8;
30;483;3;38;-10;
0;4;3;38;0.7;
27;506;3;38;0.3;
50;5201;3;38;-1;
46;3200;4;39;1;
1;20;4;39;0.7;
32;490;4;39;0.3;
33;496;4;39;-10;
35;499;4;39;-10;
35;498;4;39;8;
56;5207;4;39;-1;
1;27;4;40;0.7;
33;497;4;40;-10;
33;495;4;40;8;
34;491;4;40;0.3;
35;500;4;40;-10;
46;3206;4;40;1;
55;5206;4;40;-1;
3;38;5;53;1;
3;37;5;55;1;
9;165;5;56;1;
9;164;5;58;1;
10;174;5;240;1;
10;175;5;241;1;
4;39;5;1548;1;
4;40;5;1549;1;
14;236;5;1550;1;
14;237;5;1551;1;
15;239;5;1552;1;
15;238;5;1553;1;
6;134;6;131;-1000;
6;130;6;131;1;
6;135;6;132;0.001;
6;133;6;132;1;
6;131;6;132;-1;
6;135;6;133;0.001;
6;132;6;133;1;
6;131;6;133;-1;
38;539;6;134;0;
6;139;6;134;-100;
6;136;6;134;-100;
8;129;6;134;1;
6;134;6;135;1;
6;137;6;136;-1;
6;132;6;136;1;
36;554;6;138;0;
36;552;6;138;0;
6;134;6;138;1;
16;394;6;138;0;
36;555;6;139;0;
36;553;6;139;0;
6;142;6;139;1;
6;137;6;140;-1;
6;144;6;140;1;
6;142;6;141;1;
37;542;6;142;0;
6;140;6;142;-100;
6;138;6;142;-100;
8;127;6;142;1;
6;141;6;143;0.001;
6;145;6;143;-1;
6;144;6;143;1;
6;141;6;144;0.001;
6;145;6;144;-1;
6;143;6;144;1;
6;146;6;145;1;
6;142;6;145;-1000;
7;147;7;148;1;
7;153;7;148;-1000;
7;148;7;149;-1;
7;152;7;149;0.001;
7;150;7;149;1;
7;148;7;150;-1;
7;152;7;150;0.001;
7;149;7;150;1;
7;149;7;151;1;
7;155;7;151;-1;
7;153;7;152;1;
7;151;7;153;-100;
7;156;7;153;-100;
8;129;7;153;1;
42;570;7;153;0;
7;153;7;154;1;
41;564;7;154;0;
41;565;7;154;0;
7;157;7;156;1;
41;566;7;156;0;
41;567;7;156;0;
21;409;7;156;0;
7;154;7;157;-100;
7;159;7;157;-100;
8;127;7;157;1;
43;572;7;157;0;
7;157;7;158;1;
7;161;7;159;1;
7;155;7;159;-1;
7;161;7;160;1;
7;162;7;160;-1;
7;158;7;160;0.001;
7;160;7;161;1;
7;162;7;161;-1;
7;158;7;161;0.001;
7;163;7;162;1;
7;157;7;162;-1000;
8;3663;8;127;1;
8;127;8;128;1;
8;128;8;129;1;
8;3939;8;3663;1;
47;1547;8;3938;1;
8;3938;8;3939;1;
39;549;9;164;8;
39;548;9;164;-10;
40;545;9;164;-10;
38;540;9;164;0.3;
6;134;9;164;0.7;
46;3204;9;164;1;
52;5203;9;164;-1;
39;550;9;165;-10;
37;541;9;165;0;
40;547;9;165;8;
40;546;9;165;-10;
6;142;9;165;0.7;
46;3198;9;165;1;
51;5202;9;165;-1;
7;153;10;174;0.7;
42;569;10;174;0.3;
44;562;10;174;-10;
45;557;10;174;-10;
45;559;10;174;8;
46;3199;10;174;1;
53;5205;10;174;-1;
